ActivityName_lang,Description_lang,ID,CriteriaTreeID,ThresholdContributionAmount,Field_10_1_0_48480_005,Field_10_1_0_48776_006
Feast of Winter Veil: Play with your Winter Veil Gift,"From {EventStartDate} - {EventEndDate}, gain 100 stacks total playing with your new toy or someone else's.",489,151021,200,0,-100
Battleground Bonus Week: Win an Epic Battleground,From {EventStartDate} - {EventEndDate} Win an Epic Battleground.,490,148566,100,0,-150
Have a Snowball Fight,"Hit other players with snowballs, or get hit by theirs! Snowballs can be purchased from Smokeywood Pastures vendors in capital cities.",491,151329,25,0,0
Use the Bronze Dragon Banner Toy,Use the Bronze Dragon Banner toy on the Dragon Isles.,492,151369,50,0,0
/wave at Nozdormu,Use the Bronze Racer's Pennant toy and emote /wave at Nozdormu in Valdrakken.,493,151372,50,0,0
Use the Hourglass of Eternity Toy,Use the Hourglass of Eternity toy at the Temporal Conflux on the Dragon Isles.,494,151374,50,0,0
/flex at a Bronze Timekeerp Assistant,Emote /flex at a Bronze Timekeeper Assistant.,495,151392,25,0,0
Win 5 Pet Battles in Silithus,,496,151396,100,0,0
Use the Bronze Timepiece During a Dragonriding Race.,,497,151400,25,0,0
Call of the Scarab: Kill a Colossus,From {EventStartDate} - {EventEndDate} kill a Colossus in Silithus.,498,151404,50,0,-10
Call of the Scarab: Kill a Colossus at Each Hive,From {EventStartDate} - {EventEndDate} kill a Colossus at each of the Silithid Hives in Silithus.,499,151408,100,0,-11
Call of the Scarab: /taunt at an Opposite Faction Player,From {EventStartDate} - {EventEndDate} emote /taunt at an opposite faction player in Silithus.,500,151412,25,0,-9
Outland Cup: Complete 5 Dragonriding Courses,From {EventStartDate} - {EventEndDate} speak to a Bronze Timekeeper on Outland.,501,151414,100,0,0
Outland Cup: Complete 10 Dragonriding Courses,From {EventStartDate} - {EventEndDate} speak to a Bronze Timekeeper on Outland.,502,151416,150,501,0
Outland Cup: Complete 20 Dragonriding Courses,From {EventStartDate} - {EventEndDate} speak to a Bronze Timekeeper on Outland.,503,151418,200,502,0
